,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
17198,14653,FF,20200924,92.8,-1.82,6.43,214.0,600474,592229,,foul,11.0,R,R,BOS,BAL,S,,,-0.34,3.61,Ryan Wills,0.0
17199,14654,CH,20200924,83.6,-1.96,6.3,220.0,600474,592229,,ball,11.0,R,R,BOS,BAL,B,,,-2.95,5.24,Ryan Wills,0.103
17200,14655,SI,20200924,92.2,-1.91,6.39,204.0,600474,592229,,foul,1.0,R,R,BOS,BAL,S,,,-0.83,3.38,Ryan Wills,-0.076
17201,14656,SI,20200924,92.5,-1.8,6.36,198.0,600474,592229,,called_strike,9.0,R,R,BOS,BAL,S,,,0.32,2.0,Ryan Wills,-0.059
17202,14657,SI,20200924,91.7,-1.77,6.35,209.0,600474,592229,,ball,14.0,R,R,BOS,BAL,B,,,0.54,1.39,Ryan Wills,0.06
17203,14658,SI,20200924,92.1,-1.82,6.37,205.0,600474,592229,,ball,11.0,R,R,BOS,BAL,B,,,-0.21,3.57,Ryan Wills,0.041
17204,14659,FS,20200924,87.1,-1.82,6.22,228.0,543877,502171,strikeout,swinging_strike,13.0,R,R,BOS,BAL,S,2.0,,-0.84,0.73,Ryan Wills,-0.067
17205,14660,FS,20200924,86.9,-1.96,6.19,224.0,543877,502171,,foul,13.0,R,R,BOS,BAL,S,,,-1.24,1.36,Ryan Wills,0.0
17206,14661,SI,20200924,92.7,-1.82,6.14,210.0,543877,502171,,called_strike,6.0,R,R,BOS,BAL,S,,,0.81,2.4,Ryan Wills,-0.027
17207,14662,KC,20200924,81.7,-1.74,6.14,23.0,543877,502171,,called_strike,5.0,R,R,BOS,BAL,S,,,-0.01,2.4,Ryan Wills,-0.017
